account_id,is_mule,inbound_count_24h,inbound_sum_24h,inbound_unique_senders_24h,inbound_count_7d,inbound_sum_7d,inbound_unique_senders_7d,outbound_count_24h,outbound_sum_24h,outbound_unique_receivers_24h,outbound_count_7d,outbound_sum_7d,outbound_unique_receivers_7d,pct_forwarded_7d,avg_forward_delay_seconds,in_degree_7d,out_degree_7d,pagerank_7d,count_in_out_ratio_7d,many_inbound_senders_24h_flag,burstiness_24h_vs_7d
A000000,0,0.0,0.0,0.0,1.0,2083.89,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1,0,0.00021368236622411498,1000000001.0,0,0.0
A000001,0,0.0,0.0,0.0,1.0,705.77,1.0,0.0,0.0,0.0,2.0,3188.8599999999997,2.0,4.518270824766541,85481.0,1,2,0.0001766408968425626,0.50000000025,0,0.0
A000002,0,0.0,0.0,0.0,1.0,70.66,1.0,0.0,0.0,0.0,2.0,6893.799999999999,2.0,97.56297763801919,-1.0,1,2,0.00024178927977402232,0.50000000025,0,0.0
A000004,0,0.0,0.0,0.0,2.0,1199.42,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2,0,0.00022297802406207187,2000000001.0,0,0.0
A000005,0,0.0,0.0,0.0,1.0,1004.39,1.0,1.0,2747.67,1.0,1.0,2747.67,1.0,2.7356604506190467,460746.0,1,1,0.00011836555018979238,1.0,0,0.0
A000006,0,0.0,0.0,0.0,2.0,595.77,2.0,0.0,0.0,0.0,2.0,10094.79,2.0,16.944105946897388,272674.5,2,2,0.0004138652832270319,1.0,0,0.0
A000007,0,0.0,0.0,0.0,2.0,2142.48,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2,0,0.0003951937556875383,2000000001.0,0,0.0
A000009,0,0.0,0.0,0.0,1.0,1528.31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1,0,0.00012007662606636061,1000000001.0,0,0.0
A000010,0,0.0,0.0,0.0,1.0,505.8,1.0,0.0,0.0,0.0,1.0,1808.9,1.0,3.5763147489055434,22763.0,1,1,0.00019943577989915955,1.0,0,0.0
A000011,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1670.92,1.0,1670920000000.0,-1.0,0,1,8.305874477182321e-05,9.99999999e-10,0,0.0
A000012,0,1.0,1151.86,1.0,1.0,1151.86,1.0,1.0,423.18,1.0,2.0,1824.99,2.0,1.5843852551511606,-1.0,1,2,0.0001007121474808078,0.50000000025,0,6.999999951
A000013,0,0.0,0.0,0.0,2.0,2280.35,2.0,0.0,0.0,0.0,3.0,6586.41,3.0,2.888332931346991,134574.0,2,3,0.00023928846909778822,0.6666666667777777,0,0.0
A000014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,843.49,2.0,843490000000.0,-1.0,0,2,8.305874477182321e-05,4.9999999975e-10,0,0.0
A000015,0,17.0,32735.489999999998,17.0,31.0,51024.99,31.0,13.0,20115.59,13.0,17.0,25296.14,17.0,0.49575982278486497,35324.7,31,17,0.003123199697778322,1.823529411716263,1,3.8387096765525492
A000016,0,0.0,0.0,0.0,1.0,1119.85,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1,0,0.00010659661505046933,1000000001.0,0,0.0
A000017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,115.69,1.0,115689999999.99998,-1.0,0,1,8.305874477182321e-05,9.99999999e-10,0,0.0
A000018,0,0.0,0.0,0.0,1.0,1019.17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1,0,0.00015367235560776154,1000000001.0,0,0.0
A000019,0,0.0,0.0,0.0,2.0,1355.44,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2,0,0.00033748044831893474,2000000001.0,0,0.0
A000020,0,0.0,0.0,0.0,2.0,2395.25,2.0,0.0,0.0,0.0,1.0,260.36,1.0,0.10869846571334571,182965.0,2,1,0.0002542909717518766,1.999999999,0,0.0
A000021,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.65,1.0,3.0,4301.91,3.0,4301909999999.9995,-1.0,0,3,8.305874477182321e-05,3.3333333322222223e-10,0,0.0
A000022,0,0.0,0.0,0.0,1.0,107.21,1.0,0.0,0.0,0.0,2.0,3710.6000000000004,2.0,34.61057737119103,88633.0,1,2,0.0001007121474808078,0.50000000025,0,0.0
A000023,0,0.0,0.0,0.0,2.0,677.9399999999999,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2,0,0.00017721022588640763,2000000001.0,0,0.0
A000024,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1635.83,1.0,1635829999999.9998,-1.0,0,1,8.305874477182321e-05,9.99999999e-10,0,0.0
A000025,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2390.7799999999997,3.0,2390779999999.9995,-1.0,0,3,8.305874477182321e-05,3.3333333322222223e-10,0,0.0
A000026,0,0.0,0.0,0.0,1.0,734.47,1.0,0.0,0.0,0.0,1.0,1042.09,1.0,1.4188326276070922,41493.0,1,1,0.00024058604680793648,1.0,0,0.0
A000027,0,0.0,0.0,0.0,1.0,390.29,1.0,0.0,0.0,0.0,1.0,223.33,1.0,0.5722155320388116,-1.0,1,1,0.00011836555018979238,1.0,0,0.0
A000028,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2724.59,1.0,2724590000000.0,-1.0,0,1,8.305874477182321e-05,9.99999999e-10,0,0.0
A000029,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,782.66,1.0,782659999999.9999,-1.0,0,1,8.305874477182321e-05,9.99999999e-10,0,0.0
A000030,0,0.0,0.0,0.0,4.0,6131.490000000001,3.0,2.0,4534.56,2.0,2.0,4534.56,2.0,0.7395527025240618,406626.75,3,2,0.0006070854513073854,1.9999999995,0,0.0
A000031,0,0.0,0.0,0.0,3.0,10893.7,3.0,0.0,0.0,0.0,2.0,1845.8300000000002,2.0,0.16944013512395517,34201.0,3,2,0.00042967076840353,1.49999999975,0,0.0
A000032,0,1.0,4595.59,1.0,1.0,4595.59,1.0,0.0,0.0,0.0,1.0,2372.13,1.0,0.5161752897885764,-1.0,1,1,0.00021368236622411498,1.0,0,6.999999951
A000033,0,0.0,0.0,0.0,1.0,39.41,1.0,0.0,0.0,0.0,2.0,2763.19,2.0,70.11393047271979,105667.0,1,2,0.00013807853963387489,0.50000000025,0,0.0
A000034,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1704.63,1.0,1704630000000.0,-1.0,0,1,8.305874477182321e-05,9.99999999e-10,0,0.0
