account_id,vpa,created_at,device_id,is_mule
A000000,user00000@bank,2024-11-27 22:42:57.608166,f84dfbd5f35d,0
A000001,user00001@bank,2025-08-24 22:42:57.608166,d974d045d8d6,0
A000002,user00002@bank,2025-10-08 22:42:57.608166,ba92f09f6014,0
A000003,user00003@bank,2025-06-02 22:42:57.608166,559e0ad75e57,0
A000004,user00004@bank,2025-06-17 22:42:57.608166,90dfe8262a29,0
A000005,user00005@bank,2025-06-28 22:42:57.608166,e52e6a1f108f,0
A000006,user00006@bank,2025-08-10 22:42:57.608166,c0f64736dbc4,0
A000007,user00007@bank,2025-08-29 22:42:57.608166,c8a7686ba367,0
A000008,user00008@bank,2025-01-14 22:42:57.608166,86c82f1fd8c0,0
A000009,user00009@bank,2025-09-06 22:42:57.608166,fe0daebc7712,0
A000010,user00010@bank,2024-12-22 22:42:57.608166,8e14be766e08,0
A000011,user00011@bank,2025-03-18 22:42:57.608166,93d6e63ba222,0
A000012,user00012@bank,2025-10-04 22:42:57.608166,06574a4effb8,0
A000013,user00013@bank,2025-10-05 22:42:57.608166,570049d698a0,0
A000014,user00014@bank,2025-09-03 22:42:57.608166,b5ca539a1f51,0
A000015,user00015@bank,2025-07-01 22:42:57.608166,5a18bb8a5b35,1
A000016,user00016@bank,2025-06-23 22:42:57.608166,169a8146a867,0
A000017,user00017@bank,2025-02-04 22:42:57.608166,6c89cd7e8acd,0
A000018,user00018@bank,2024-12-16 22:42:57.608166,7a358f1e40c9,0
A000019,user00019@bank,2025-10-07 22:42:57.608166,ce55c235277e,0
A000020,user00020@bank,2025-01-06 22:42:57.608166,15b4b7033b3e,0
A000021,user00021@bank,2025-07-11 22:42:57.608166,5e634fb5d2b8,0
A000022,user00022@bank,2024-11-22 22:42:57.608166,a0611fb38503,0
A000023,user00023@bank,2025-01-14 22:42:57.608166,c2d6d8b739c2,0
A000024,user00024@bank,2025-03-20 22:42:57.608166,0354cb8fedd5,0
A000025,user00025@bank,2025-06-30 22:42:57.608166,064a92681435,0
A000026,user00026@bank,2025-03-05 22:42:57.608166,572eb8df2765,0
A000027,user00027@bank,2024-12-23 22:42:57.608166,8dd6ed2b7eb4,0
A000028,user00028@bank,2025-05-31 22:42:57.608166,8bafdfa30aa4,0
A000029,user00029@bank,2025-10-17 22:42:57.608166,45afe9db877b,0
A000030,user00030@bank,2025-07-31 22:42:57.608166,5f4e29ef7f54,1
A000031,user00031@bank,2025-03-18 22:42:57.608166,e4c07ef70ad0,1
A000032,user00032@bank,2025-04-29 22:42:57.608166,a4a8634c5cf6,0
A000033,user00033@bank,2025-05-31 22:42:57.608166,469c85fb2230,0
A000034,user00034@bank,2025-08-02 22:42:57.608166,c39205eb8410,0
A000035,user00035@bank,2025-07-02 22:42:57.608166,6f55dd452357,0
A000036,user00036@bank,2025-05-01 22:42:57.608166,c2cd553754d4,0
A000037,user00037@bank,2025-08-29 22:42:57.608166,e1e792c5a240,0
A000038,user00038@bank,2025-09-03 22:42:57.608166,097f56a51c0b,0
A000039,user00039@bank,2025-04-09 22:42:57.608166,709df1eaa964,0
A000040,user00040@bank,2025-09-01 22:42:57.608166,199c6dc70ab0,0
A000041,user00041@bank,2025-04-20 22:42:57.608166,d0f85725533a,0
A000042,user00042@bank,2025-04-27 22:42:57.608166,3c1dba27014b,0
A000043,user00043@bank,2024-12-15 22:42:57.608166,7f0727695bbd,0
A000044,user00044@bank,2025-06-07 22:42:57.608166,29561a631f80,0
A000045,user00045@bank,2025-09-28 22:42:57.608166,2fec40774b3b,0
A000046,user00046@bank,2025-02-27 22:42:57.608166,c65f5832b8db,0
A000047,user00047@bank,2025-01-19 22:42:57.608166,76e4ce7fa558,0
A000048,user00048@bank,2025-08-18 22:42:57.608166,705855421f08,0
A000049,user00049@bank,2025-04-10 22:42:57.608166,21a96df387e9,0
A000050,user00050@bank,2025-09-10 22:42:57.608166,609c59111682,0
A000051,user00051@bank,2025-01-11 22:42:57.608166,a7a16b4b7bf2,0
A000052,user00052@bank,2025-05-23 22:42:57.608166,8ab7ef74856b,0
A000053,user00053@bank,2024-12-03 22:42:57.608166,7aa598bad5b8,0
A000054,user00054@bank,2024-12-08 22:42:57.608166,ac8c172cafd4,0
A000055,user00055@bank,2025-04-18 22:42:57.608166,4dc655b9deb6,0
A000056,user00056@bank,2024-12-29 22:42:57.608166,1522a4b03cea,0
A000057,user00057@bank,2025-07-14 22:42:57.608166,5766fdf45fa2,0
A000058,user00058@bank,2025-09-15 22:42:57.608166,f88c47288b83,0
A000059,user00059@bank,2025-09-27 22:42:57.608166,9bb20b89e6b7,0
A000060,user00060@bank,2025-06-26 22:42:57.608166,3ef1a76a718f,0
A000061,user00061@bank,2025-05-25 22:42:57.608166,af79bab4db5d,0
A000062,user00062@bank,2025-09-10 22:42:57.608166,3cdfe30cee5f,0
A000063,user00063@bank,2025-06-23 22:42:57.608166,8a01744738a6,0
A000064,user00064@bank,2025-08-30 22:42:57.608166,015bec2f0a2e,0
A000065,user00065@bank,2025-04-09 22:42:57.608166,7b5e0116d288,0
A000066,user00066@bank,2025-05-31 22:42:57.608166,95b76da9e229,0
A000067,user00067@bank,2025-03-02 22:42:57.608166,ba2d74231799,0
A000068,user00068@bank,2024-11-29 22:42:57.608166,8ba4b08560a1,0
A000069,user00069@bank,2025-04-17 22:42:57.608166,0f8ec5e72565,0
A000070,user00070@bank,2025-07-29 22:42:57.608166,5c509f4e79b0,0
A000071,user00071@bank,2025-04-14 22:42:57.608166,531b26944a2e,0
A000072,user00072@bank,2025-04-22 22:42:57.608166,b9647ff0ebae,1
A000073,user00073@bank,2025-07-05 22:42:57.608166,6880e76f47cb,0
A000074,user00074@bank,2025-06-06 22:42:57.608166,a4e8efd33c04,0
A000075,user00075@bank,2024-11-23 22:42:57.608166,13e46f7c7cf4,0
A000076,user00076@bank,2025-09-14 22:42:57.608166,0bcd6efdbb48,0
A000077,user00077@bank,2024-12-13 22:42:57.608166,221232fa5b34,1
A000078,user00078@bank,2024-11-29 22:42:57.608166,d33f1f4a3443,0
A000079,user00079@bank,2025-07-25 22:42:57.608166,126ce1722d44,0
A000080,user00080@bank,2025-01-20 22:42:57.608166,ac9c49ced05f,0
A000081,user00081@bank,2025-06-17 22:42:57.608166,5010ae101a07,0
A000082,user00082@bank,2025-07-29 22:42:57.608166,c1f77aa72548,0
A000083,user00083@bank,2025-02-26 22:42:57.608166,7e52a7b92bf3,0
A000084,user00084@bank,2025-04-09 22:42:57.608166,221232fa5b34,1
A000085,user00085@bank,2025-06-04 22:42:57.608166,0d7bab8c3944,0
A000086,user00086@bank,2024-11-27 22:42:57.608166,6f8925be03fc,0
A000087,user00087@bank,2025-01-08 22:42:57.608166,9f04cf7cb85e,0
A000088,user00088@bank,2025-06-30 22:42:57.608166,5cb4b06c235c,0
A000089,user00089@bank,2025-05-07 22:42:57.608166,085a2bfce155,0
A000090,user00090@bank,2025-09-22 22:42:57.608166,149bf94b8bb6,0
A000091,user00091@bank,2025-06-25 22:42:57.608166,fe53b74e9c8a,0
A000092,user00092@bank,2025-10-04 22:42:57.608166,d94216fa242c,1
A000093,user00093@bank,2025-05-12 22:42:57.608166,022833bbc33f,0
A000094,user00094@bank,2025-03-29 22:42:57.608166,7e49999b411d,0
A000095,user00095@bank,2025-06-05 22:42:57.608166,91b663fabe91,0
A000096,user00096@bank,2025-09-17 22:42:57.608166,578cd906da2f,0
