tx_id,timestamp,sender,receiver,amount
T0016526,2025-11-07 17:11:08.608166,A004304,A004836,3984.33
T0000700,2025-11-19 17:09:52.608166,A000555,A001921,1481.61
T0017969,2025-11-19 16:52:23.608166,A004171,A003021,791.44
T0025801,2025-11-06 05:21:20.608166,A004298,A004429,605.34
T0019639,2025-10-23 10:05:09.608166,A002746,A000544,536.32
T0013294,2025-11-12 12:19:36.608166,A002452,A002294,1227.16
T0024644,2025-11-02 03:21:54.608166,A000611,A003286,1223.58
T0012154,2025-11-01 01:01:51.608166,A003807,A002467,872.11
T0016303,2025-11-11 05:05:40.608166,A003677,A000400,1330.29
T0026794,2025-11-13 04:50:57.608166,A000119,A003190,501.58
T0006918,2025-11-17 19:24:51.608166,A002269,A004221,15.62
T0004091,2025-11-02 10:20:58.608166,A004288,A004386,437.42
T0017478,2025-10-24 18:37:09.608166,A001785,A002101,401.09
T0017402,2025-11-14 05:50:44.608166,A001767,A001341,820.06
T0003524,2025-10-25 06:37:39.608166,A000122,A001340,657.27
T0001432,2025-10-29 14:23:24.608166,A003737,A000747,362.7
T0015734,2025-11-07 12:02:50.608166,A000000,A002947,477.68
T0002679,2025-11-17 02:19:31.608166,A003190,A001965,455.4
T0008577,2025-11-14 05:41:42.608166,A001916,A000389,885.76
T0008757,2025-10-22 17:30:38.608166,A003214,A003176,1236.36
T0003749,2025-11-13 21:56:50.608166,A003855,A002018,317.43
T0005832,2025-11-06 15:38:43.608166,A004510,A003240,398.29
T0016704,2025-11-17 15:11:45.608166,A004975,A003370,38.15
T0026983,2025-11-11 00:04:57.608166,A003320,A000602,459.88
T0004154,2025-11-09 16:36:33.608166,A001041,A004156,1634.22
T0008875,2025-11-13 02:51:43.608166,A004583,A004551,295.45
T0016085,2025-10-27 13:27:29.608166,A002483,A000292,2743.27
T0001101,2025-10-29 03:54:45.608166,A002067,A003598,118.88
T0003429,2025-11-19 16:49:58.608166,A000249,A004224,2000.21
T0023167,2025-11-11 05:14:32.608166,A004402,A002242,2831.93
T0017490,2025-11-09 04:43:43.608166,A004557,A000242,2166.91
T0025438,2025-10-26 09:25:21.608166,A004103,A003073,552.04
T0010214,2025-11-18 04:36:59.608166,A003139,A003789,1109.61
T0013423,2025-11-09 14:47:19.608166,A001394,A002394,1587.88
T0016897,2025-11-07 05:47:52.608166,A002123,A000073,205.48
T0013360,2025-11-05 14:27:05.608166,A003864,A004451,986.04
T0010692,2025-10-22 19:29:24.608166,A004712,A004264,5614.99
T0004105,2025-10-29 03:50:15.608166,A004693,A000356,1065.33
T0024341,2025-10-31 11:51:44.608166,A000447,A003048,3667.72
T0019907,2025-11-08 13:21:13.608166,A003052,A001479,2224.45
T0010484,2025-11-15 13:06:30.608166,A003313,A002249,3042.35
T0002476,2025-10-30 02:09:49.608166,A002323,A003871,2437.37
T0018735,2025-11-12 07:51:52.608166,A002451,A000377,637.56
T0016969,2025-10-30 09:45:10.608166,A000757,A002649,3026.2
T0025709,2025-11-07 19:12:19.608166,A000482,A004302,2304.37
T0012480,2025-11-18 12:16:42.608166,A002811,A004070,5587.9
T0002335,2025-11-17 13:15:34.608166,A003336,A001161,1705.11
